pX_ptconecoreTrackPtrCorrection,p_d0,p_etcone20,pX_MultiLepton,p_sigmad0,p_TRTPID,p_numberOfInnermostPixelHits,p_ptPU30,p_deltaEta1,p_Rhad,p_Truth_isElectron
1062.17,0.13,0.66,0,0.083,-0.067,1,0.0003,0.036,0.0037,0
1672.75,0.039,0.28,0,0.059,0.12,1,0.00021,-0.022,-0.0043,0
15242.85,-0.061,1.7,0,0.029,0.0046,0,7.5e-05,-7.4e-05,0.84,1
22419.21,-0.002,0.23,0,0.011,-0.055,1,1.7e-06,-0.021,0.12,0
14854.0,-0.019,0.93,0,0.022,0.058,1,4.7e-05,0.0083,0.081,0
46608.3,-0.024,0.56,0,0.019,0.022,1,0.00012,-0.028,0.03,0
182533.69,0.051,1.48,0,0.018,-0.39,1,5e-13,-0.004,1.03,0
42575.93,0.31,1.13,0,0.017,-0.23,1,7.1e-14,0.035,0.68,0
36715.24,-0.045,1.26,0,0.016,-0.12,1,1.2e-05,0.0065,0.46,0
24905.99,0.0046,-0.034,1,0.011,0.011,1,0.33,0.00051,-0.0051,1
47616.64,0.0075,1.14,0,0.021,-0.12,1,7.1e-06,-0.0059,0.05,0
45130.7,-0.00026,1.27,0,0.013,0.0,1,1.3e-05,-0.033,1.01,0
13672.96,-6.47,0.036,0,0.12,-0.077,0,8.6e-05,-0.0066,-0.0091,1
33438.29,-0.079,1.23,0,0.08,-0.017,2,8.2e-05,-0.057,0.51,0
14086.69,-0.0061,0.37,0,0.019,-0.038,1,4.2e-06,-0.013,0.16,0
29255.26,-0.072,0.083,1,0.035,-0.022,1,0.0,-7.9e-05,0.018,1
56514.0,-0.049,1.44,0,0.017,-0.093,1,5.1e-24,0.048,0.61,0
44869.79,-0.024,1.29,0,0.018,-0.015,1,5.5e-05,-0.015,0.6,0
44147.93,0.029,0.044,1,0.013,0.38,1,0.0,-8.1e-05,-0.0016,1
42894.18,0.003,0.85,0,0.011,-0.29,1,0.0,0.00013,0.6,0
40135.77,0.02,1.55,0,0.018,-0.042,1,0.0,0.0042,0.69,0
14293.05,-0.035,0.61,0,0.053,0.023,0,7.1e-14,-0.00015,0.039,1
58098.23,-0.0041,0.27,0,0.017,0.11,1,1.3e-05,0.031,0.025,0
163643.77,-0.0032,0.61,0,0.0089,-0.2,1,3e-06,0.0018,0.34,0
0.0,2.41,0.05,0,0.68,0.15,0,0.00027,-0.049,-0.014,0
18743.8,-0.018,1.16,0,0.016,0.0,1,0.0,0.11,0.82,0
32338.07,0.0039,1.09,0,0.016,-0.033,1,0.0,-0.019,0.52,0
39500.69,0.0013,1.59,0,0.027,-0.23,1,8.4e-06,0.023,0.93,0
38520.92,-0.014,0.17,1,0.013,0.19,1,4.5e-06,-0.0015,-0.0043,0
35549.41,0.092,2.17,0,0.047,1.11,1,0.00021,0.014,0.86,1
35036.52,-0.043,0.61,0,0.013,0.033,1,7.5e-05,-0.023,0.084,0
33254.89,-0.031,0.056,1,0.011,0.61,1,0.17,-0.00047,0.02,1
84472.64,-0.01,0.93,0,0.011,0.052,1,6.3e-07,-0.044,0.65,0
27048.51,-0.0092,1.27,0,0.018,0.0096,1,0.0,0.047,0.58,0
48606.99,-0.0067,2.54,0,0.014,0.0,1,0.0,0.043,2.05,0
5435.69,0.058,2.34,0,0.057,-0.00071,1,0.0007,0.11,0.71,0
32666.85,0.025,0.19,1,0.013,0.21,1,0.24,0.00036,0.02,1
31002.33,-0.057,0.42,0,0.04,-0.022,0,2.7e-05,0.0084,0.11,1
67254.43,-0.03,0.68,0,0.013,-0.092,1,0.0,0.044,0.77,0
48608.94,-0.0051,0.095,0,0.01,0.23,1,0.1,0.0019,0.048,1
31299.21,0.12,4.0,0,0.042,0.0,1,0.00012,0.011,0.32,0
74376.84,0.0065,4.25,0,0.0076,0.091,2,8.4e-07,0.016,2.5,0
35746.59,0.018,2.73,0,0.024,0.0,1,7.9e-05,-0.04,0.94,0
19980.74,-3.75,1.33,0,0.088,0.65,0,0.0,0.0038,0.25,1
33666.72,0.012,1.28,0,0.014,0.0,1,3e-06,-0.016,0.19,0
17647.41,0.016,0.017,0,0.016,0.29,1,0.15,-0.00024,0.013,1
22213.55,-0.02,1.12,0,0.015,0.056,1,0.0,-0.045,0.12,0
50233.59,-0.028,0.44,0,0.016,-0.056,1,0.0,-0.013,0.18,0
7594.97,0.44,0.055,0,0.25,0.0,0,0.0,0.0094,-0.00034,1
61436.29,0.015,0.051,1,0.012,0.32,1,0.18,-0.00051,0.0075,1
63398.7,0.00066,1.87,0,0.017,-0.22,1,2.2e-05,-0.042,1.1,0
18557.41,0.01,1.37,0,0.028,0.0,1,0.0,0.0099,0.5,0
43361.74,0.019,1.19,0,0.016,0.0,1,7.9e-07,-0.0032,0.92,0
38247.56,0.024,1.21,0,0.013,0.076,1,3.2e-05,0.011,0.57,0
49469.33,-0.0013,1.04,0,0.017,0.11,1,0.0,-0.015,0.18,0
6420.22,0.049,0.14,0,0.038,-0.07,1,2.9,0.0027,-0.0066,1
2743.55,0.47,2.89,0,0.41,-0.075,0,3.7e-13,0.1,0.58,1
3947.64,-0.039,0.19,0,0.038,0.068,1,0.0,-0.021,0.053,0
53084.07,0.013,0.095,1,0.016,0.51,1,0.26,-0.00016,0.00022,1
10969.47,-0.21,2.15,0,0.066,0.0,2,0.00017,-0.002,1.05,1
39130.61,0.022,0.92,0,0.024,-0.045,1,0.0,0.00059,0.015,0
45176.5,0.022,0.037,1,0.0095,-0.012,1,0.017,-0.00073,-0.0031,1
31123.69,-0.03,0.13,1,0.033,0.34,0,1.49,-0.00036,-0.0017,1
0.0,-0.043,0.23,0,0.034,-0.11,1,1e-05,-0.031,0.042,0
116322.19,0.014,1.17,0,0.013,-0.18,1,0.00011,-0.0073,1.04,0
22112.3,-7.17,0.46,0,0.28,0.068,0,0.0,-1.1e-05,0.15,0
6160.48,-0.01,2.11,0,0.019,0.035,1,0.0,-0.064,0.87,0
25992.01,-0.0061,-0.0043,1,0.03,0.0,1,0.0,0.00029,0.0096,1
19886.72,-0.0049,0.089,1,0.015,0.38,1,0.33,-0.0012,0.0049,1
60356.87,0.0084,2.18,0,0.016,0.029,1,8e-05,-0.022,1.01,0
3636.33,0.0062,3.25,0,0.034,0.14,1,0.0,-0.012,1.67,0
20701.6,-0.1,0.032,0,0.021,-0.036,2,0.0,0.0015,-0.00034,0
24168.04,0.029,1.0,0,0.023,0.0,1,3.6e-06,0.0078,0.33,0
3376.09,-8.48,0.89,0,0.79,-0.025,0,1.1e-12,-0.0016,0.33,0
20718.02,-0.017,1.0,0,0.013,-0.13,2,0.0,-0.058,0.56,0
28776.22,-0.00035,-0.054,1,0.017,0.78,1,0.17,-0.0034,-0.042,1
47457.77,-0.018,0.82,0,0.016,0.0,2,7.7e-06,0.019,0.3,0
37786.76,-0.016,-0.0048,1,0.012,0.48,1,0.0,-0.00044,0.0031,1
41455.81,0.025,1.28,0,0.027,0.012,1,4.8e-05,0.0019,0.14,0
24353.26,0.0015,0.64,0,0.018,-0.075,1,9.7e-07,0.042,0.2,0
3069.95,6.67,0.47,0,0.51,0.038,0,4e-10,-0.052,0.025,0
40170.66,0.033,1.5,0,0.017,-0.085,1,1.3e-05,-0.025,0.25,0
61317.07,-0.015,2.19,0,0.017,0.27,1,0.0,-0.037,1.96,0
32186.28,-0.07,1.74,0,0.011,0.15,1,0.0,0.014,1.35,0
5628.54,-15.21,0.55,0,0.19,-0.075,1,3e-13,0.059,0.22,0
8876.37,0.033,0.79,0,0.016,0.032,1,3.5e-05,0.021,0.021,0
59346.56,-0.002,0.36,0,0.011,-0.047,1,0.0,0.0021,0.39,0
29953.42,0.019,0.47,0,0.01,-0.023,1,0.0,0.0038,0.21,0
56999.41,-0.012,0.86,0,0.02,-0.0022,1,0.0008,-0.018,0.074,0
0.0,-6.19,1.0,0,0.06,0.18,0,1.9e-27,0.089,0.43,0
27900.92,-0.14,0.4,0,0.012,-0.28,1,1.6e-13,-0.038,0.15,0
17538.57,-0.75,0.94,0,0.095,-0.11,0,2.5e-11,-0.0005,0.62,0
63330.12,-0.0096,1.85,0,0.017,0.076,0,0.0,-0.00097,0.42,0
8133.38,0.025,0.96,0,0.031,0.0,1,0.0,0.0017,0.65,0
41034.78,0.018,0.65,0,0.011,-0.19,1,5e-05,-0.01,0.06,0
10977.0,0.015,2.24,0,0.032,0.0,1,0.0,0.0023,0.64,0
31112.68,0.022,0.087,1,0.012,0.33,1,0.19,0.00093,0.0048,1
12889.43,-0.0042,1.95,0,0.014,-0.15,1,0.0,-0.051,1.34,0
17988.37,-0.017,0.82,0,0.014,0.01,2,1.3e-05,-0.041,0.38,0
47274.69,-0.0051,0.31,0,0.015,0.36,1,2.1e-05,0.008,0.022,0
17114.62,-0.0038,1.28,0,0.017,-0.086,1,7.2e-06,-0.0053,0.59,0
48017.36,0.051,1.13,0,0.023,-0.15,1,6.6e-05,0.023,0.11,0
73239.91,0.014,1.44,0,0.013,-0.021,1,2.5e-05,0.037,0.64,0
45319.76,0.047,1.07,0,0.013,-0.13,1,0.0,-0.025,0.0056,0
8452.06,-0.0082,0.15,0,0.058,-0.048,1,0.0,0.045,0.014,0
28559.54,-0.0044,1.95,0,0.023,-0.018,1,6.8e-05,-0.076,0.55,0
2083.25,1.25,0.92,0,0.054,-0.0069,2,5e-13,-0.05,0.44,0
13753.88,-0.032,0.48,0,0.012,0.035,1,0.0,-6.7e-05,0.014,1
37558.56,-3.1,0.3,0,0.04,-0.18,0,0.0,0.011,0.068,0
20733.81,-0.0014,2.15,0,0.019,-0.24,1,7.2e-05,-0.0017,1.28,0
48131.05,0.00051,0.95,0,0.018,-0.26,1,0.0,0.00011,0.68,0
44999.98,-0.01,1.11,0,0.017,-0.011,1,2.6e-05,0.026,0.58,0
35101.02,0.037,-0.034,1,0.015,0.1,2,0.088,0.00022,0.0011,1
30600.05,-0.019,-0.012,1,0.019,0.14,1,0.1,0.0015,-0.007,1
2244.92,0.033,1.0,0,0.075,0.0,1,0.0,0.048,0.064,0
7443.22,2.56,0.0026,0,0.068,0.032,0,1.6e-13,0.00094,-0.0066,1
38402.02,-0.0037,-0.041,1,0.018,0.28,1,0.017,0.00031,-0.0077,1
46983.69,0.0012,0.076,1,0.013,0.23,1,0.68,0.00067,0.014,1
21090.92,0.12,0.34,0,0.028,-0.043,2,0.00025,0.049,0.014,0
19188.78,-0.028,1.34,0,0.016,-0.0044,1,5.7e-06,0.03,0.11,0
40512.92,-0.0016,0.54,0,0.015,0.0,2,0.0,0.0015,0.14,0
30491.58,-0.0067,0.74,0,0.013,-0.027,1,0.0,0.024,0.48,0
63432.25,-0.035,0.93,0,0.0086,-0.0064,1,0.0,-0.079,0.59,0
23557.78,0.0099,1.23,0,0.019,-0.058,1,0.0,-0.0089,0.21,0
32212.0,0.84,0.62,0,0.15,0.19,0,0.0,0.0058,0.27,1
45743.63,-0.035,1.32,0,0.013,0.018,1,0.0,-0.0093,0.76,0
16596.28,-0.011,0.18,0,0.012,0.012,1,0.0,-0.087,0.14,0
6428.34,-0.049,2.89,0,0.037,-0.13,1,1.4e-05,0.021,0.15,0
42888.86,0.0046,0.71,0,0.011,-0.11,1,1.9e-06,0.065,0.12,0
55802.11,-0.012,0.48,0,0.012,0.011,1,0.0,-0.028,0.11,0
10157.25,0.04,0.62,0,0.034,-0.28,1,0.00019,0.026,0.035,0
0.0,0.027,0.52,1,0.03,0.0,1,0.0,0.0013,0.22,0
0.0,-0.19,0.11,0,0.074,-0.14,1,7.2e-05,0.011,0.019,0
36055.45,0.024,0.74,0,0.016,-0.015,1,2.3e-05,-0.044,0.47,0
39166.39,0.02,0.9,0,0.017,-0.065,2,3.9e-05,0.024,0.25,0
22315.18,-0.13,0.26,0,0.017,0.14,1,1.1e-13,-0.053,0.067,0
0.0,-0.032,0.82,0,0.021,0.098,2,2.7e-05,-0.03,0.7,0
16028.07,-0.018,2.25,0,0.02,-0.011,1,1.4e-05,-0.065,1.13,0
65379.56,0.003,1.29,0,0.012,-0.13,1,5.7e-06,0.067,0.62,0
23120.18,0.011,1.47,0,0.014,-0.099,1,1.4e-05,0.038,0.79,0
19446.82,0.0037,0.056,1,0.023,0.74,1,1.11,-0.00065,-0.0074,1
0.0,-0.13,0.36,0,0.029,0.0,1,5.8e-05,-0.0024,0.057,0
14277.35,-0.0026,0.71,0,0.021,-0.24,2,1.5e-05,0.053,0.18,0
52645.06,0.022,1.35,0,0.014,0.0,2,9.8e-06,-0.09,0.47,0
0.0,0.017,0.91,0,0.14,0.23,1,0.00037,-0.11,0.14,0
48134.72,0.019,0.065,0,0.012,0.049,1,0.0,0.00076,0.0046,1
74847.48,-0.011,1.02,0,0.011,-0.072,1,4.3e-06,0.037,0.78,0
26312.29,-0.0043,0.71,0,0.019,0.078,1,2.8e-05,-0.0089,0.054,0
93876.05,-0.25,0.94,0,0.048,0.063,0,2.8e-30,-0.013,0.4,0
42418.39,-0.061,1.35,0,0.013,0.099,1,4.5e-05,-0.0036,1.4,0
0.0,-0.16,0.44,0,0.1,-0.026,1,0.00014,-0.073,0.012,0
14949.42,0.075,0.41,0,0.056,-0.038,1,8.1e-05,0.043,0.13,0
17989.35,-0.004,0.61,0,0.023,0.068,1,0.00014,0.0074,0.046,1
37595.49,-0.0041,1.84,0,0.01,-0.028,1,4.1e-06,-0.025,1.35,0
9589.08,0.029,1.02,0,0.027,-0.18,1,0.0,-0.072,0.57,0
66240.06,-0.59,0.56,0,0.035,0.03,0,2.4e-14,0.00054,0.28,0
33112.88,0.0094,0.59,0,0.0085,0.0035,2,0.0,0.027,0.72,0
22285.41,0.0057,0.049,1,0.015,0.085,1,0.15,-0.00063,-0.024,1
24186.47,0.029,0.77,0,0.016,-0.052,1,0.0,-0.034,0.22,0
0.0,0.00091,0.51,0,0.04,-0.036,1,0.0,0.0032,-0.0014,0
37144.95,0.032,0.46,0,0.023,-0.027,1,6.8e-05,-0.013,-0.0061,0
59686.33,0.0093,2.11,0,0.011,-0.12,1,1.2e-05,0.032,0.42,0
18079.35,0.024,0.029,1,0.03,0.2,1,0.0,-8.7e-05,0.0067,1
18697.39,-0.15,0.45,0,0.07,0.32,1,8.5e-14,-0.014,0.069,0
26028.87,-0.024,0.29,0,0.013,-0.047,2,3.9e-05,-0.033,-0.03,0
0.0,-1.97,0.24,0,0.2,-0.042,0,1.5e-13,-0.038,0.081,0
52475.84,-0.068,1.09,0,0.011,-0.055,2,2.8e-20,0.019,0.68,0
21754.44,-0.029,0.54,0,0.018,-0.35,1,1.3e-05,0.018,0.4,0
14155.43,0.015,0.36,0,0.014,-0.097,1,0.0,0.011,0.068,0
0.0,5.91,0.33,0,0.067,0.016,0,2.5e-13,0.036,0.012,0
5633.01,0.072,1.72,0,0.027,-0.22,1,0.0,0.036,0.15,0
51294.08,-0.011,1.03,0,0.012,0.019,1,2.6e-06,0.0017,0.19,0
1467.34,-17.87,0.28,0,0.11,0.02,1,0.0,0.046,0.03,0
7601.85,-0.031,0.33,0,0.024,-0.028,1,0.0,0.069,0.049,0
14336.6,-0.016,0.12,0,0.033,0.0,1,0.0,0.0011,0.0057,1
11745.6,0.021,0.26,0,0.022,-0.065,1,4.4e-06,0.027,0.059,0
25561.63,0.01,1.19,0,0.022,0.12,1,5.5e-05,0.011,0.83,0
31948.81,0.08,0.064,0,0.016,-0.099,1,2.8e-05,-0.0011,0.0064,1
34765.44,-0.016,1.62,0,0.014,-0.0016,1,9.8e-05,-0.038,0.18,0
21908.83,-0.018,1.58,0,0.025,0.12,1,0.00032,-0.025,0.014,0
19359.05,3.1,0.69,0,0.88,0.014,0,0.0,0.048,-0.00025,1
13854.5,-0.094,1.66,1,0.022,0.39,1,3.8e-14,-0.00065,0.0067,0
54230.88,-0.03,1.62,0,0.013,0.22,1,0.00014,0.064,1.12,0
54895.53,0.068,1.23,0,0.01,-0.14,1,0.0,-0.00023,0.41,0
32287.22,0.015,1.11,0,0.015,0.055,1,2.9e-06,-0.028,0.49,0
37053.28,-0.0046,0.0077,1,0.012,0.44,1,0.37,-0.0014,0.0031,1
42263.03,-0.0021,0.097,1,0.01,-0.064,2,0.0,0.00026,0.0032,1
9974.59,-0.034,1.39,0,0.019,0.0055,1,0.0,-0.017,0.26,0
59568.23,0.0015,2.02,0,0.017,-0.2,1,5.9e-05,-0.016,0.99,0
0.0,0.021,0.55,0,0.011,-0.063,1,0.0,0.0031,0.11,0
0.0,7.8,0.56,0,0.092,-0.12,0,1.7e-13,-0.069,0.42,0
0.0,-3.56,0.15,0,0.32,-0.11,0,1.3e-11,0.086,0.043,0
42979.05,0.01,1.42,0,0.013,0.082,1,2.8e-06,-0.0012,0.39,0
32585.76,0.0059,0.8,0,0.013,-0.18,1,0.0,-0.04,0.51,0
7556.13,-0.069,1.35,0,0.055,0.03,1,0.00047,0.028,0.14,0
59609.35,0.3,1.45,0,0.013,0.024,1,0.0,-0.0017,0.68,0
32936.67,-0.088,1.27,0,0.046,0.0,1,0.00011,-0.038,0.67,0
13862.31,0.0011,2.24,0,0.03,0.05,1,2.1e-05,1.9e-05,0.66,0
10724.17,0.29,1.02,0,0.21,0.38,0,7.2e-23,0.045,0.055,0
51438.23,0.033,0.45,0,0.022,0.0,1,3.9e-05,0.01,0.22,0
59527.04,-0.017,2.52,0,0.012,-0.036,1,3.6e-06,-0.017,2.2,0
3130.95,-0.054,0.18,0,0.043,-0.095,1,0.0,-0.068,0.13,0
80244.95,-0.0078,0.0073,1,0.013,-0.043,1,0.068,-0.00097,-0.011,1
0.0,0.52,0.39,0,0.016,-0.12,0,0.0,0.032,0.15,0
7599.26,0.035,1.42,0,0.027,-0.065,1,0.0,0.086,0.55,0
8249.27,0.047,0.55,0,0.021,-0.24,1,5.2e-05,-0.024,-0.01,0
37116.32,0.0028,1.11,0,0.023,-0.35,1,2.5e-05,-0.0056,0.32,0
0.0,-0.032,0.91,0,0.018,-0.14,1,7.1e-05,-0.014,0.031,0
16909.03,-0.038,0.79,0,0.067,-0.21,0,0.00011,0.031,0.076,0
15276.81,-0.032,2.16,0,0.012,0.0089,1,3.1e-06,0.001,1.8,0
9518.82,-0.0019,0.92,0,0.019,-0.33,1,0.0,0.065,0.03,0
60445.87,-0.012,1.78,0,0.037,0.041,1,0.0,-0.0053,0.87,0
10030.86,-0.036,0.021,1,0.019,0.34,1,0.0,-0.0012,-0.0024,1
18525.31,0.013,0.83,0,0.025,-0.2,1,5.9e-05,0.0088,0.41,0
11089.72,-0.0086,0.86,0,0.021,-0.034,1,0.0,-0.039,0.23,0
21577.14,0.0028,0.86,0,0.021,-0.018,1,2.3e-05,-0.051,0.011,0
53113.55,0.013,2.45,0,0.015,-0.24,1,0.0,0.0064,1.86,0
55167.25,0.024,2.9,0,0.014,0.075,1,8.4e-06,0.012,2.51,0
2111.06,0.0069,0.49,0,0.054,-0.12,1,0.0,0.074,0.015,0
29351.18,-0.00043,-0.005,1,0.0092,-0.086,1,0.094,0.00029,0.0081,1
43844.46,-0.054,1.58,0,0.023,0.0,1,3.6e-05,-0.018,0.86,0
51874.69,0.0013,0.72,0,0.0096,-0.049,1,0.0,-0.0037,0.38,0
36476.7,-0.011,3.63,0,0.015,-0.2,1,0.0,0.0071,2.03,0
32187.6,-0.022,0.83,0,0.019,0.0,1,0.0,0.072,0.36,0
12804.25,-0.06,0.11,0,0.021,0.0049,1,0.00019,0.021,0.053,0
19601.68,0.016,3.86,0,0.083,-0.06,1,0.0019,-0.065,0.77,0
55407.03,-0.19,0.52,0,0.031,-0.1,1,0.0,-0.005,0.31,0
19409.13,-0.009,1.09,0,0.024,0.0,1,4.4e-06,-0.0022,0.56,0
43772.95,0.023,0.8,0,0.014,-0.16,1,0.0,0.011,0.2,0
43401.72,0.019,1.17,0,0.019,-0.37,1,1e-05,-0.02,0.43,0
60033.67,-0.0098,3.15,0,0.012,0.0,1,0.0,-0.057,2.8,0
21450.65,-0.0094,-0.0022,1,0.018,0.0,1,0.0,0.0015,-0.0021,1
35921.44,0.015,0.032,1,0.011,0.11,1,0.12,0.0018,0.0036,1
14651.44,-0.047,0.44,0,0.016,0.073,1,0.0,0.0051,0.14,0
7353.87,-0.045,1.78,0,0.039,0.073,1,0.00016,-0.091,0.58,0
37086.0,0.0034,3.18,0,0.016,-0.022,2,0.0,0.0011,1.68,0
37411.85,0.0003,1.33,0,0.011,0.0046,1,3.3e-06,0.045,0.58,0
12822.42,-0.15,0.13,0,0.11,0.15,0,0.00016,0.00056,-0.046,1
18948.67,0.034,2.93,0,0.022,0.086,1,2.8e-05,0.049,0.93,0
39443.46,-0.0015,0.78,0,0.011,0.044,1,0.0,0.01,0.38,0
56236.5,0.0075,1.37,0,0.013,0.026,1,0.0,0.035,1.29,0
39827.71,-0.033,1.07,0,0.012,0.15,1,0.0,-0.0033,0.42,0
25166.73,6e-05,1.11,0,0.013,-0.056,1,1.8e-06,0.021,0.43,0
49467.97,-0.068,0.21,0,0.02,-0.042,1,0.00014,-0.022,0.053,0
80919.98,-0.0065,1.64,0,0.017,0.13,1,0.0,0.021,1.07,0
13577.08,-0.023,0.52,0,0.021,-0.19,1,0.0,6.6e-05,0.52,0
50616.77,0.0071,0.9,0,0.016,0.19,1,2e-05,-0.0016,0.68,0
23572.88,0.031,0.12,0,0.014,-0.057,1,0.0,0.031,0.077,0
41021.7,-0.0039,0.0041,1,0.011,-0.092,1,0.0,-0.00038,-0.022,1
16669.29,-0.0016,0.29,0,0.016,0.11,1,0.0,-0.019,0.13,0
11597.98,0.0079,1.25,0,0.014,-0.15,1,1.4e-05,0.0052,0.23,0
23958.97,0.0083,-0.053,1,0.022,0.0,1,0.0,-0.00028,-0.016,1
9676.5,-0.0026,1.51,0,0.026,-0.067,1,1.9e-05,-0.043,0.36,0
55515.29,0.033,1.18,0,0.017,-0.11,1,0.0,-0.071,0.5,0
9934.66,0.023,1.39,0,0.034,0.0,1,1.3e-05,0.063,0.4,0
43505.65,-0.0056,1.43,0,0.01,-0.16,1,9.2e-06,-0.031,1.49,0
4642.25,-0.006,4.41,0,0.044,0.11,1,0.0,-0.057,2.75,0
21750.31,0.0049,0.47,0,0.017,0.011,1,5.3e-05,0.024,0.18,0
30199.27,-0.1,1.13,0,0.018,0.0,2,0.00011,-0.018,0.23,0
48683.05,-0.013,-0.0064,1,0.01,0.27,1,0.0,0.0015,-0.024,1
22722.17,-0.0084,1.81,0,0.024,0.025,1,0.0,0.0082,0.78,0
39325.77,-0.0018,0.16,0,0.011,-0.087,1,0.0,-0.065,0.085,0
0.0,1.44,0.095,0,0.53,0.0,0,2.1e-22,-0.07,0.0019,0
31388.88,-0.0066,1.73,0,0.012,-0.092,1,0.0,0.0094,0.62,0
48858.05,0.011,0.67,0,0.01,0.36,1,4.6e-06,0.013,0.19,0
39536.22,0.027,0.047,1,0.014,0.26,1,0.0,0.0013,-0.0025,1
35775.03,-0.024,0.61,0,0.021,0.0,1,7.7e-06,0.053,0.24,0
57663.14,0.023,2.12,0,0.012,0.31,1,0.0,-0.014,1.7,0
42738.31,0.012,1.51,0,0.021,0.026,1,0.0,-0.0043,1.14,0
16361.5,0.02,0.99,0,0.013,0.1,1,0.0,0.013,0.56,0
31077.09,0.053,1.01,0,0.026,-0.11,1,0.0027,-0.03,0.19,0
0.0,0.014,0.9,0,0.054,0.089,1,0.00046,-0.013,0.24,0
66872.25,0.011,1.69,0,0.012,0.0,1,6.6e-06,-0.012,0.8,0
41003.55,-0.014,-0.043,1,0.013,0.11,1,0.063,-0.0005,-0.0047,1
50493.93,0.014,0.033,1,0.015,0.56,1,0.0,-0.00042,0.008,1
14468.18,1.85,1.08,0,0.04,-0.16,0,7.8e-12,0.0012,0.52,0
9524.01,-0.035,0.88,0,0.027,-0.16,1,7.1e-05,-0.017,0.25,0
28713.75,0.012,0.011,1,0.011,-0.072,1,0.0,0.0006,0.015,1
46709.91,-3.93,0.39,0,0.19,0.012,0,2.4e-12,0.026,0.088,1
34709.19,0.025,1.8,0,0.013,-0.22,1,0.0,0.00013,0.25,0
29704.85,0.0031,-0.049,1,0.015,0.02,2,0.0,0.00031,0.022,1
